tokens_est	chars	path
4798	19190	Aescripts-Cloners + Effectors v1.2.6/ClonersShapeSplit.jsx
4490	17962	Divers/DecomposeText.jsx
4108	16432	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/expressions/reservedPropertiesHelper.jsx
4108	16432	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/expressions/reservedPropertiesHelper.jsx
3853	15413	Aescripts-Set Parent To Structure v0.3 (WIN+MAC)/v0.3/Set Parent To Structure_V0.3.jsx
3796	15183	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/importers/lottieImporter.jsx
3796	15183	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/importers/lottieImporter.jsx
3589	14357	Divers/MasksToLayers.jsx
3520	14082	Divers/Create Nulls From Paths.jsx
3395	13579	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/expressions/variableDeclarationHelper.jsx
3395	13579	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/expressions/variableDeclarationHelper.jsx
3290	13162	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/layerStylesHelper.jsx
3290	13162	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/layerStylesHelper.jsx
3157	12629	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/effectsHelper.jsx
3157	12629	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/effectsHelper.jsx
3126	12505	Divers/TranslateExpressions.jsx
3062	12248	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/transformation-matrix.jsx
3062	12248	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/transformation-matrix.jsx
2907	11629	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/textShapeHelper.jsx
2907	11629	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/textShapeHelper.jsx
2905	11619	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/audioSourceHelper.jsx
2905	11619	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/audioSourceHelper.jsx
2625	10501	Aescripts-Set Parent To Structure v0.3 (WIN+MAC)/v0.5.1/Set Parent To Structure_V0.5.jsx
2600	10398	Divers/Ouroboros_1.3.jsx
2496	9985	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/ProjectParser.jsx
2496	9985	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/ProjectParser.jsx
2488	9951	Divers/Ease and Wizz.jsx
2416	9663	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/textHelper.jsx
2416	9663	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/textHelper.jsx
2392	9567	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/textAnimatorHelper.jsx
2392	9567	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/textAnimatorHelper.jsx
2331	9323	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/expressions/keyframeBakerHelper.jsx
2331	9323	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/expressions/keyframeBakerHelper.jsx
2257	9029	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/elements/layerElement.jsx
2241	8963	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/elements/layerElement.jsx
2100	8399	Divers/rd_MasksToShapes.jsx
2014	8056	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/annotationsManager.jsx
2014	8056	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/annotationsManager.jsx
1987	7947	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/bez.jsx
1987	7947	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/bez.jsx
1932	7727	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/dataManager.jsx
1910	7639	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/dataManager.jsx
1874	7497	Aescripts-Origami v1.4.0/(Origami_packages)/basicSlice.jsx
1848	7392	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/exporters/bannerExporter.jsx
1848	7392	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/exporters/bannerExporter.jsx
1834	7336	Aescripts-Add Edit Marker v1.5/Add Edit Markers.jsx
1806	7222	Aescripts-Coco Color CoWorker v1 2 0/Coco Color CoWorker v1.2.0/extendscript/index.jsx
1710	6842	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/JSON.jsx
1710	6842	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/JSON.jsx
1696	6784	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/expressions/valueAssignmentHelper.jsx
1696	6784	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/expressions/valueAssignmentHelper.jsx
1694	6777	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/compsManager.jsx
1694	6777	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/compsManager.jsx
1664	6654	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/initializer.jsx
1664	6654	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/initializer.jsx
1609	6435	Divers/LayerRandomShifter.jsx
1553	6213	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layers/texts/textAnimatorsReport.jsx
1553	6213	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layers/texts/textAnimatorsReport.jsx
1504	6014	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerReport.jsx
1504	6014	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerReport.jsx
1469	5875	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/fileManager.jsx
1469	5875	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/fileManager.jsx
1364	5458	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/helpers/blendModes.jsx
1364	5458	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/helpers/blendModes.jsx
1304	5217	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/generalUtils.jsx
1304	5217	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/generalUtils.jsx
1275	5099	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/dataSourceHelper.jsx
1275	5099	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/dataSourceHelper.jsx
1190	4759	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/transformHelper.jsx
1190	4759	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/transformHelper.jsx
1188	4750	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/layerReportHelper.jsx
1188	4750	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/layerReportHelper.jsx
